/apply-for-disability-insurance-benefits,,"In your letter, you’ll also get an Appeal Form. You can fill out this form and send it back to us within 30 days.","En su carta, también obtendrá una Forma de Apelación. Usted puede llenar este formulario y enviarlo de nuevo a nosotros dentro 30 dias.",在你的信，你还可以得到一个上诉表格。您可以填写此表，并在30天内寄回给我们。
/apply-for-disability-insurance-benefits,,Submit a form to keep getting paid,Presentar una forma de mantener los pagos de sus beneficios,呈现方式，让您收益金
/apply-for-disability-insurance-benefits,,"To keep your benefits, you have to let us know you still are unable to work. To do that, you must return one of the forms below.","Para mantener sus beneficios, usted tiene que hacernos saber que todavía tiene una discapacidad. Debe devolver una de las siguientes formas:",为了让您的利益，你必须让我们知道，你仍然有残疾。你必须返回下列方式之一：
/apply-for-disability-insurance-benefits,,"Please note: If you don’t, your payments will stop.","Tenga en cuenta: Si no lo hace, sus pagos serán suspendidos.",注意：如果你不这样做，您的付款将被暂停。
/apply-for-disability-insurance-benefits,,If you get automatic payments:,Si recibe pagos automáticos:,如果您收到自动付款：
/apply-for-disability-insurance-benefits,,We will send you a form after 10 weeks.,Le enviaremos un formulario después de 10 semanas.,我们将在10周后发送的形式。
/apply-for-disability-insurance-benefits,,The form is called Disability Claim Continuing Certification.,"El formulario se llama ""Disability Claim Continuing Eligibility Certification"".",该形式被称为“伤残理赔继续有资格认证”。
/apply-for-disability-insurance-benefits,,You must return this form to continue your benefits.,Debe devolver este formulario para continuar con sus beneficios.,你必须将此表格继续您的权益。
/apply-for-disability-insurance-benefits,,If you don’t get automatic payments:,Si usted no recibe los pagos automáticos:,如果您没有收到自动付款：
/apply-for-disability-insurance-benefits,,We will send you a different form every two weeks.,Le enviaremos una forma diferente cada dos semanas.,我们会送你一个不同的方式每两个星期。
/apply-for-disability-insurance-benefits,,The form is called Claim for Continued Disability Benefits.,El formulario se llama Claim for Continued Disability Benefits.,该形式被称为对残疾福利续索赔。
/apply-for-disability-insurance-benefits,,The fastest way to submit these forms is through,La manera más rápida de someter estas formas es a través de,提交这些形式的最快方式是通过
/apply-for-disability-insurance-benefits,,SDI Online,SDI Online,SDI在线
/apply-for-cal-grant,,Follow these steps to apply for a Cal Grant. It’s money for college you don’t have to pay back.,Siga estos pasos para solicitar una beca Cal Grant. Es dinero para la universidad que usted no tiene que pagar.,请按照以下步骤申请加州拨款。这是大学学费，你不必付费。
/apply-for-cal-grant,,Apply for a Cal Grant - Alpha.CA.gov,Solicitar una beca Cal Grant - Alpha.CA.Gov,申请加州格兰特 -  Alpha.CA.Gov
/apply-for-cal-grant,,Apply for a Cal Grant (college financial aid),Solicitar una beca Cal Grant (ayuda financiera para la universidad),申请加州格兰特（上大学助学金）
/apply-for-cal-grant,,"Deadline to apply: Monday, March 2, 2020, 11:59 p.m.","Fecha límite para solicitar: Lunes, 2 de marzo de 2020, 11:59p.m.",申请截止日期：星期一，2020年3月2日晚上11:59
/apply-for-cal-grant,,A Cal Grant is money for college you don’t have to pay back.,La beca Cal Grant es dinero para la universidad no tiene que pagar.,加州格兰特大学学费并不需要支付。
/apply-for-cal-grant,,"Apply for financial aid, if you haven't already","Presentar una solicitud para ayuda financiera, si no lo ha hecho ",申请财政援助，如果你还没有做
/apply-for-cal-grant,,Submit the Free Application for Federal Student Aid (FAFSA),Presentar la Solicitud Gratuita de Ayuda Federal para Estudiantes (FAFSA),提交联邦学生援助免费申请（FAFSA）
/apply-for-cal-grant,,the California Dream Act Application (CADAA),la Solicitud Dream Act de California (CADAA),应用加州梦想法案（Cadaa）
/apply-for-cal-grant,,"If you've already submitted your FAFSA or CADAA, you can go to step two.","Si ya ha enviado su FAFSA o CADAA, puede proceder al paso dos.",如果您已经提交您的FAFSA或Cadaa，就可以进行第二步。
/apply-for-cal-grant,,Apply for financial aid,Presentar una solicitud para ayuda financiera,提交财政援助申请
/apply-for-cal-grant,,Check if your school has shared your GPA,Verifique si su escuela ha compartido su promedio de calificaciones (GPA),检查你的学校已经分享了他的平均成绩（GPA）
/apply-for-cal-grant,,"Once you've applied for financial aid, check if your school has shared your GPA with us.","Una vez que usted ha presentado una solicitud para ayuda financiera, verifique si su escuela ha compartido su promedio de calificaciones (GPA) con nosotros.",一旦你提交的财政援助申请，检查你的学校是否与我们分享了他的平均成绩（GPA）。
/apply-for-cal-grant,,"If they haven't, you’ll fill out a one-page form and get it signed by any official from your high school or college. There’s no need to submit a transcript.","Si no lo han hecho, podrás llenar un formulario de una página y conseguir una firma por cualquier funcionario de su escuela secundaria o la universidad. No hay necesidad de presentar un transcrito escolar.",如果他们没有，你可以填写表单的页面上，并通过你的高中或大学的任何成员获得一个签名。无需提交高中成绩单。
/apply-for-cal-grant,,Check your GPA status,Compruebe el estado de su promedio de calificaciones (GPA),检查你的平均成绩的状态（GPA）
/apply-for-cal-grant,,Who can get a Cal Grant,Quién puede obtener una beca Cal Grant,谁可以拿到加州格兰特
/apply-for-cal-grant,,"To qualify for a Cal Grant, you must:","Para calificar para una beca Cal Grant, usted debe:",要获得一个CAL授权，你必须：
/apply-for-cal-grant,,Be a California resident for one year or more,Ser residente de California por un año o más,是加州居民使用一年以上
/apply-for-cal-grant,,eligible California college,colegio o universidad de California que participe en las becas Cal Grant,加州大学或大学参与加州教育资助
/apply-for-cal-grant,,Attend or plan to attend an,Asistir a un,参加
/apply-for-cal-grant,,Not already have a bachelor's or professional degree,No haber obtenido un título universitario o profesional de 4 años ,由于没有获得大学专业学位或4年
/apply-for-cal-grant,,Have U.S. citizenship,Ser ciudadano estadounidense,是美国公民
/apply-for-cal-grant,,<strong>or</strong> be ,<strong>o</strong> ser,<strong>或</strong>是
/apply-for-cal-grant,,eligible for federal student aid,elegible para ayuda financiera del gobierno,资格获得政府的财政援助
/apply-for-cal-grant,,eligible for AB540,o un estudiante elegible para el programa AB540,或符合条件的学生的程序AB540
/apply-for-cal-grant,,Need financial help to pay for your college's tuition,Necesitar ayuda financiera para pagar la matrícula de su universidad,需要财政援助，以交学费贵校
/apply-for-cal-grant,,Have family income and assets (such as savings),Tener ingresos familiares y bienes ( como ahorros),有家庭的收入和资产（包括存款）
/apply-for-cal-grant,,at or below the minimum,en o por debajo del mínimo,在或低于最低
/apply-for-cal-grant,,Be enrolled or plan to enroll in a program that leads to an undergraduate degree or certificate,Estar inscrito o planea para inscribirse en un programa conducente a un título universitario o certificado,被登记或计划在一个程序导致学位或证书报名
/apply-for-cal-grant,,Be enrolled or plan to enroll at least half time,Estar inscrito o planea inscribirse con una dedicación de al menos medio tiempo,被登记或计划招收具有奉献给至少有一半时间
/apply-for-cal-grant,,"Have registered with the U.S. Selective Service, if you're","Han registrado en el Servicio Selectivo de los EE.UU., si usted",他们已经与美国兵役登记的，如果你
/apply-for-cal-grant,,required to register,está obligado a registrarse,您需要注册
/apply-for-cal-grant,,Not owe a refund on any state or federal grant or be in default on a student loan,No deber dinero por ninguna beca estatal o federal o en incumplimiento de un préstamo estudiantil,不欠退税上的任何州或联邦赠款或将拖欠学生贷款
/apply-for-cal-grant,,Not be in jail,No estar encarcelado,不被禁闭
/apply-for-cal-grant,,Meet the,Cumplir con los,拜见
/apply-for-cal-grant,,Satisfactory Academic Progress standards</a> set by your school,progreso académico satisfactorio por los estándares</a> establecidos por su escuela,令人满意的学业进步的标准由</A>他们学校成立
/apply-for-cal-grant/step-1,,Apply for a Cal Grant: Step 1,Solicitar una beca Cal Grant: Paso 1,申请加州格兰特：第1步
/apply-for-cal-grant/step-1,,Follow these steps to apply for a Cal Grant. It’s money for college you don’t have to pay back.,Siga estos pasos para solicitar una beca Cal Grant. Es dinero para la universidad que usted no tiene que pagar.,请按照以下步骤申请加州拨款。这是大学学费，你不必付费。
/apply-for-cal-grant/step-1,,"Deadline to apply: Monday, March 2, 2020, 11:59 p.m.","Fecha límite para solicitar: Lunes, 2 de marzo de 2020, 11:59 p.m.",申请截止日期：星期一2020年3月2日晚上11:59
/apply-for-cal-grant/step-1,,"Apply for financial aid, if you haven't already","Presentar una solicitud para ayuda financiera, si no lo ha hecho ",申请财政援助，如果你还没有做
/apply-for-cal-grant/step-1,,"There are two ways to apply for financial aid that can lead to a Cal Grant. Submit a FAFSA <em>or</em> CADAA form, if you haven't already.","Hay dos maneras de solicitar ayuda financiera que puede conducir a una beca Cal Grant. Presentar un solicitud de FAFSA <EM>o</EM> CADAA, si no lo ha hecho.",有申请财政援助，可能导致一个CAL授权两种方式。提交FAFSA <EM>或</ em>的Cadaa，如果你还没有完成。
/apply-for-cal-grant/step-1,,Apply for the Free Application for Federal Student Aid (FAFSA) if you:,Aplicar para la Solicitud Gratuita de Ayuda Federal para Estudiantes (FAFSA) si:,申请是否免费申请联邦学生援助（FAFSA）：
/apply-for-cal-grant/step-1,,Have U.S. Citizenship,Tienen la ciudadanía de EE.UU.,他们拥有美国国籍
/apply-for-cal-grant/step-1,,are a Permanent Resident,es un Residente Permanente,这是一个永久居民
/apply-for-cal-grant/step-1,,"do not have U.S. Citizenship, but you are","no tienen la ciudadanía de EE.UU., pero usted es",他们没有美国国籍，但你
/apply-for-cal-grant/step-1,,eligible for federal student aid,elegible para ayuda federal para estudiantes,有资格获得联邦学生补助
/apply-for-cal-grant/step-1,[lang-have-a],have a,tiene un,有
/apply-for-cal-grant/step-1,,T Visa,Visa T,签证Ť
/apply-for-cal-grant/step-1,,Apply for FAFSA,Aplicar al FAFSA,适用于FAFSA
/apply-for-cal-grant/step-1,,Apply for the California Dream Act Application (CADAA) if you:,Solicita la aplicación del Dream Act de California (CADAA) si usted:,请加州梦想法案（Cadaa）如果你的应用程序：
/apply-for-cal-grant/step-1,,Are undocumented,Es indocumentado,它是非法的
/apply-for-cal-grant/step-1,,have Deferred Action for Childhood Arrivals (DACA) — valid or expired,esta debajo el programa Acción para Llegados en la Infancia (DACA) - válido o vencido,是行动纲领童年抵达（DACA）下 - 有效或过期
/apply-for-cal-grant/step-1,[lang-have],have,tiene,你有
/apply-for-cal-grant/step-1,[lang-are],are,es,这是
/apply-for-cal-grant/step-1,,Temporary Protected Status (TPS),el Estatus de Protección Temporal (TPS),临时保护身份（TPS）
/apply-for-cal-grant/step-1,,eligible for AB540,es elegible para el programa AB540,你有资格的程序AB540
/apply-for-cal-grant/step-1,,Apply for CADAA,Aplicar al CADAA,适用于Cadaa
/apply-for-cal-grant/step-1,,Next step:,Próximo paso:,下一步：
/apply-for-cal-grant/step-1,,Check your GPA status,Verifique el estado de su promedio de calificaciones (GPA),检查你的平均成绩的状态（GPA）
/apply-for-cal-grant/step-1,,Return to the beginning:,Regresar al principio,回到开头
/apply-for-cal-grant/step-2,,Apply for a Cal Grant: Step 2,Solicitar una beca Cal Grant: Paso 2,申请加州格兰特：第2步
/apply-for-cal-grant/step-2,,Apply for a Cal Grant: Step 2 - Alpha.CA.gov,Solicitar una beca Cal Grant: Paso 2 - Alpha.CA.gov,申请加州格兰特：第2步 -  Alpha.CA.gov
/apply-for-cal-grant/step-2,,Follow these steps to apply for a Cal Grant. It’s money for college you don’t have to pay back.,Siga estos pasos para solicitar una beca Cal Grant. Es dinero para la universidad que usted no tiene que pagar.,请按照以下步骤申请加州拨款。这是大学学费，你不必付费。
/apply-for-cal-grant/step-2,,"Deadline to apply: Monday, March 2, 2020, 11:59 p.m.","Fecha límite para solicitar: Lunes, 2 de marzo de 2020, 11:59 p.m.",申请截止日期：星期一2020年3月2日晚上11:59
/apply-for-cal-grant/step-2,,Check if your school has shared your GPA,Verifique si su escuela ha compartido su promedio de calificaciones,检查您的学校共享你的GPA
/apply-for-cal-grant/step-2,,"Once you've applied for financial aid, check if your school has shared your GPA with us.","Una vez que usted ha solicitado ayuda financiera, verifique si su escuela ha compartido su promedio de calificaciones (GPA) con nosotros.",一旦你已经申请了财政援助，检查学校是否与我们分享了他的平均成绩（GPA）。
/apply-for-cal-grant/step-2,,"To do so, simply","Para hacer esto,",要做到这一点，
/apply-for-cal-grant/step-2,,"log into WebGrants 4 Students</a>. There, you'll find out if we've received your financial aid application and your GPA. If we have both, you've finished your Cal Grant application.","inicie una sesión en WebGrants 4 Students</a>. Allí, averiguará si hemos recibido su solicitud de ayuda financiera y su promedio de calificaciones. Si hemos recibido ambos, entonces ha completado su solicitud para la beca CalGrant.",登录WebGrants 4名</A>学生。在那里，你会发现，如果我们已经收到您的财政援助和你的GPA要求。如果你收到了两个，那么你完成你的CalGrant奖学金申请。
/apply-for-cal-grant/step-2,,"If they haven't, submit your own GPA form","Si no, envie su propio formulario de su Promedio de Calificaciones (GPA)",如果不是，从你的平均成绩发送自己的表单（GPA）
/apply-for-cal-grant/step-2,,"If your school hasn't shared your GPA with us, you have to print and","Si su escuela no ha compartido su Promedio de Calificaciones (GPA) con nosotros, usted tiene que imprimir y",如果你的学校还没有与我们分享他们的平均绩点（GPA），你必须打印和
/apply-for-cal-grant/step-2,,submit your own GPA form</a> to apply for a Cal Grant.,enviar el formulario de GPA</a> para solicitar una beca Cal Grant.,GPA发送表单</A>的卡尔格兰特。
/apply-for-cal-grant/step-2,,Before you submit your form,Antes de enviar el formulario,之前提交表单
/apply-for-cal-grant/step-2,,"You’ll need to ask any official from your high school or college to help you fill out the section ""For school use only.""",Tendrá que pedir a cualquier funcionario de su escuela secundaria o la universidad para ayudar a llenar la sección “Sólo para uso escolar.”,你必须问你的高中或大学，以帮助任何成员填补“只是学校使用。”
/apply-for-cal-grant/step-2,,There’s no need to submit a transcript.,No hay necesidad de presentar un transcrito escolar.,无需提交高中成绩单。
/apply-for-cal-grant/step-2,,You don’t need to know your grade point average (GPA).,No es necesario saber su Promedio de Calificaciones (GPA).,不需要知道你的GPA（GPA）。
/apply-for-cal-grant/step-2,,When to submit test scores instead of your GPA,Cuando a presentar resultados de las pruebas en lugar de su promedio de calificaciones (GPA),提交检测结果，而不是他们的平均绩点（GPA）
/apply-for-cal-grant/step-2,,"You should submit your test scores (from the ACT, SAT, GED, TASC, or HiSET exams) instead of your GPA if you:","Usted debe enviar sus calificaciónes de las pruebas (del ACT, SAT, GED, TASC, o exámenes HISET) en lugar de su promedio de calificaciones (GPA) si:",你应该把你的考试成绩（法律，SAT，GED，TASC，或测试高定值），而不是他们的平均成绩（GPA），如果：
/apply-for-cal-grant/step-2,,Were homeschooled,Fueron educados en el hogar,他们在家上学
/apply-for-cal-grant/step-2,,Attended a high school that isn't,Ingresaron a una secundaria que no está,他们进入了一个次要不是
/apply-for-cal-grant/step-2,,regionally accredited,acreditada regionalmente,地区认证
/apply-for-cal-grant/step-2,,Went to any school that can't convert your grades to a 4.00 scale (pass/fail only or certain schools outside of the United States),Fueron a una escuela que no pueden convertir sus grados de la escala de 4.00 (pasa / no pasa sólo ciertas escuelas o fuera de los Estados Unidos),他们去了一所学校，他们不能把4.00的规模学位（合格/不合格只有某些学校或美国以外）
/apply-for-cal-grant/step-2,,"If you’ve been out of school for five years or longer, you can submit test scores or your GPA.","Si usted ha estado fuera de la escuela por cinco años o más, puede enviar resultados de las pruebas o su promedio de calificaciones.",如果你已经学出来了五年以上的，可以提交考试成绩或平均绩点。
/apply-for-cal-grant/step-2,,Next step:,Próximo paso:,下一步：
/apply-for-cal-grant/step-2,,Finish,Final,结束
/apply-for-cal-grant/step-2,,Return to the beginning:,Para volver al principio:,要返回到开头：
/apply-for-cal-grant/finish,,Follow these steps to apply for a Cal Grant. It’s money for college you don’t have to pay back.,Siga estos pasos para solicitar una beca Cal Grant. Es dinero para la universidad que usted no tiene que pagar.,请按照以下步骤申请加州拨款。这是大学学费，你不必付费。
/apply-for-cal-grant/finish,,Apply for a Cal Grant: Finish,Solicitar una beca Cal Grant: Final,申请加州格兰特：决赛
/apply-for-cal-grant/finish,,Apply for a Cal Grant: Finish - Alpha.CA.gov,Solicitar una beca Cal Grant - Alpha.CA.gov,申请加州格兰特 -  Alpha.CA.gov
/apply-for-cal-grant/finish,,Finish applying for a Cal Grant,Finalizar la solicitud para una beca Cal Grant,完成了加州批准该申请
/apply-for-cal-grant/finish,,You’ve applied for a Cal Grant if:,"Usted ha solicitado una beca Cal Grant, si, ",您已要求加州格兰特如果
/apply-for-cal-grant/finish,,You've,Usted ha,你已经
/apply-for-cal-grant/finish,,applied for FAFSA or CADAA</a> by March 2.,aplicado al FAFSA o CADAA</a> antes del 2 de marzo.,施加到FAFSA或Cadaa 3月2日之前</a>的。
/apply-for-cal-grant/finish,,And you or your school has,Usted o su escuela ha,你或你的学校有
/apply-for-cal-grant/finish,,shared your GPA with us</a> by March 2.,compartido su promedio de calificaciones (GPA) con nosotros</a> antes del 2 de marzo.,3月2日之前分享他们的平均绩点（GPA）</A>我们。
/apply-for-cal-grant/finish,,Thanks for applying for a Cal Grant!,¡Gracias por aplicar para una beca Cal Grant!,感谢您申请加州格兰特！
/apply-for-cal-grant/finish,,What happens next,Que sucede después,它接下来发生
/apply-for-cal-grant/finish,,"You can create an account with our online portal,","Puede crear una cuenta en nuestro portal por internet,",你可以在网上建立在我们网站上的账户，
/apply-for-cal-grant/finish,,"WebGrants 4 Students</a>, to see if you qualify 7–10 business days after you apply.","WebGrants 4 Students</a>, para ver si califica 7-10 días hábiles después de presentar su solicitud.",WebGrants 4名学生</a>的，就看您是否有资格7-10个工作日提交申请后。
/apply-for-cal-grant/finish,,"Once you select a school,",Una vez que seleccione una escuela,一旦你选择一所学校
/apply-for-cal-grant/finish,,log into WebGrants 4 Students</a> to confirm your award and get your money.,inicie una sesión en WebGrants 4 Students</a> para confirmar su ayuda financiera y obtener su dinero.,登录WebGrants 4名学生</a>，以确认它的财政援助，并得到你的钱。
/apply-for-cal-grant/finish,,If you're a high school senior,Si usted es un estudiante de último año de la escuela secundaria,如果你是一个高中
/apply-for-cal-grant/finish,,We'll send you a letter in the mail to let you know if you qualify for a Cal Grant.,Te enviaremos una carta en el correo para saber si usted califica para una beca Cal Grant.,我们将会给你去信的邮件，看看您是否有资格获得加州格兰特。
/apply-for-cal-grant/finish,,If you're a high school graduate or in college,Si usted es un graduado de la escuela secundaria o estas inscribido en la universidad,如果你是从高中或大学这些inscribido毕业
/apply-for-cal-grant/finish,,We'll send you an email to let you know if you qualify for a Cal Grant.,Te enviaremos un correo electrónico para hacerle saber si usted califica para una beca Cal Grant.,我们向您发送电子邮件，让你知道，如果你有资格获得加州格兰特。
/apply-for-cal-grant/finish,,Return to the beginning:,Regresar al principio:,回到开头：
/check-lane-closures,,Check lane closures for your trip,Compruebe el cierre de carriles para viajar,检查车道行驶关闭
/check-lane-closures,,Find highway lanes that have been closed because of planned maintenance.,Encuentra carriles de la carretera que se han cerrado debido a un mantenimiento planificado.,找到高速公路的车道是由于计划内维护关闭。
/check-lane-closures,,Where are you going?,¿A dónde vas?,你要去哪里？
/check-lane-closures,,Please enter a destination in California:,Introduce un destino en California:,输入在加利福尼亚州一个目的地：
/check-lane-closures,,"Sorry, we can't find that location. Please enter a valid location in California.","Lo sentimos, no podemos encontrar ese lugar. Por favor, introduzca una ubicación válida en California.",很抱歉，我们无法找到那个地方。请在加利福尼亚州输入有效的位置。
/check-lane-closures,,What's your starting location?,¿Cuál es el punto de partida?,要点是什么？
/check-lane-closures,,Please enter a starting location in California:,"Por favor, introduzca una ubicación de inicio en California:",请进入加州的开始位置：
/check-lane-closures,,Check lane closures,Comprobar los cierres de carriles,检查车道关闭
/,,Check lane closures for your trip,Compruebe el cierre de carriles para viajar,检查车道行驶关闭
/news,,"Sorry, we can't find that location. Please enter a valid location in California.","Lo sentimos, no podemos encontrar ese lugar. Por favor, introduzca una ubicación válida en California.",很抱歉，我们无法找到那个地方。请在加利福尼亚州输入有效的位置。
/news,,"Sorry, we can only show road conditions in California. Please enter a California location.","En este momento, sólo podemos mostrar condiciones de la carretera en California. Por favor, introduzca una ubicación de California.",在这个时候，我们只能显示在加利福尼亚州的道路状况。请进入加州的位置。
/news,,Get directions,Obtener las direcciones,行车路线
/news,,Road conditions for your trip,condiciones de la carretera para su viaje,道路状况为您的行程
/news,,Road condition,Condiciones del camino,道路状况
/news,,Landmark,Punto de referencia,基准
/news,,Description,Descripción,描述
/find-minimum-wage-your-city,,Find the minimum wage in your city,Encuentre el salario mínimo en su ciudad,查找您所在城市最低工资标准
/find-minimum-wage-your-city,,Find the minimum wage in your city - Alpha.CA.gov,Encuentre el salario mínimo en su ciudad - Alpha.CA.gov,在城市中找到的最低工资标准 -  Alpha.CA.gov
/find-minimum-wage-your-city,,Find the minimum wage in your California city and the State of California. Compare your city's minimum wage to other cities in California.,Encuentre el salario minimo en su ciudad y el Estado de California. Compare el salario minimo en su ciudad a otras ciudades en California.,在城市中找到的最低工资和加利福尼亚州。比较在城市中加州其他城市的最低工资标准。
/find-minimum-wage-your-city,,Please enter your city or zip code:,Por favor introduzca su ciudad o código postal:,请输入您的城市或邮政编码：
/find-minimum-wage-your-city,,Please enter a city or zip code in California.,Por favor introduzca la ciudad o código postal en California:,请进入加州城市或邮政编码：
/find-minimum-wage-your-city,,Find minimum wage,Encuentre el salario minimo,找到最低工资
/find-minimum-wage-your-city,,California minimum wage in 2020,Salario mínimo de California en 2020,在2020年加利福尼亚州的最低工资
/find-minimum-wage-your-city,,Minimum wage depends on the city where you work. Some cities have the same minimum wage as the State.,El salario mínimo depende de la ciudad donde trabaja. Algunas ciudades tienen el mismo salario mínimo que el Estado de California.,最低工资取决于他工作的城市。一些城市具有相同的最低工资标准为加利福尼亚州。
/find-minimum-wage-your-city,,Employers with 25 or fewer employees,Empleadores con 25 o menos empleados,有25名或更少的员工的雇主
/find-minimum-wage-your-city,,Employers with 26 or more employees,Empleadores con 26 o más empleados,有26名以上雇员的雇主
/find-minimum-wage-your-city,,$12/hour*,$12/hora*,$ 12 /小时*
/find-minimum-wage-your-city,,$13/hour*,$13/hora*,$ 13 /小时*
/find-minimum-wage-your-city,,Compare minimum wage across cities,Comparte el salario minimo entre ciudades,分享城市之间的最低工资标准
/find-minimum-wage-your-city,,These California cities and counties have their own minimum wage laws.,Estas ciudades y condados de California tienen sus propias leyes de salario mínimo,这些市县在加利福尼亚州有自己的最低工资法
/find-minimum-wage-your-city,,More about the,Más sobre el,更多关于
/find-minimum-wage-your-city,,minimum wage,salario mínimo,最低工资标准
/find-food-banks-near-you,,Find food banks near you - Alpha.CA.gov,Encuentre bancos de alimentos cerca de usted - Alpha.CA.gov,寻找食物银行您身边 -  Alpha.CA.gov
/find-food-banks-near-you,,We'll help you find the California food banks and pantries closest to you.,Le ayudaremos a encontrar los bancos de alimentos y despensas más cercanos a usted.,我们将帮助您寻找食物银行和最接近茶水间给你。
/find-food-banks-near-you,,Find food banks near you,Encuentre bancos de alimentos cerca de usted,查找您附近的食品银行
/find-food-banks-near-you,,We'll help you find the food banks and pantries closest to you.,Le ayudaremos a encontrar los bancos de alimentos y despensas más cercanos a usted.,我们将帮助您寻找食物银行和最接近茶水间给你。
/find-food-banks-near-you,,Please enter your city or zip code:,Por favor introduzca su ciudad o código postal:,请输入您的城市或邮政编码：
/find-food-banks-near-you,[lang-form-button],Search,Buscar,搜索
/find-food-banks-near-you,,Please enter a city or zip code in California.,Por favor introduzca una ciudad o código postal:,请输入城市名称或邮政编码：
/find-food-banks-near-you,,Other resources,Otros recursos,其他资源
/find-food-banks-near-you,,Text us to find food close to you,Envíe un mensaje de texto para encontrar comida cerca de usted,发送短信去寻找食物靠近你
/find-food-banks-near-you,,Text us anytime at,Envíenos un mensaje de texto en cualquier momento al,在任何时候发送短信
/find-food-banks-near-you,,with your city name or zip code.,con el nombre de su ciudad o código postal.,与你的城市名称或邮政编码的名称。
/find-food-banks-near-you,,We'll respond with the food bank closest to you.,Responderemos con el banco de alimentos más cercano a usted.,我们到离您最近的食物银行回应。
/find-food-banks-near-you,,Call 211 with your questions,Llame al 211 con sus preguntas,拨打211与您的问题
/find-food-banks-near-you,,Phone number:,Numero de teléfono,电话号码
/find-food-banks-near-you,,"Hours: 24 hours a day, every day of the year","Horario: 24 horas al día, todos los días del año",营业时间：每天24小时，一年中的每一天
/find-food-banks-near-you,,"is a source of local social services throughout the United States. A trained expert can help you find many resources, including:","es un sito web que te conecta a varios recursos y servicios sociales en todo Estados Unidos. Un experto capacitado puede ayudarle a encontrar muchos recursos, incluyendo:",这是一个网站，在美国各地您连接到各种资源和社会服务。一个训练有素的专家可以帮助您找到很多资源，包括：
/find-food-banks-near-you,,food programs,programas de alimentación,供餐方案
/find-food-banks-near-you,,shelter and housing,servicios de refugio y vivienda,住房和住房服务
/find-food-banks-near-you,,emergency information,información sobre emergencias,紧急信息
/find-food-banks-near-you,,help with your job search,ayuda con su búsqueda de empleo,你找工作的帮助
/find-food-banks-near-you,,healthcare and shots,cuidado de salud y vacunas,医疗保健和疫苗
/state-california-employee-holidays,,State of California employee holidays,Días festivos para empleados estatales de California,假期在加利福尼亚州的员工
/state-california-employee-holidays,,State of California employee holidays - Alpha.CA.gov,Días festivos para empleados estatales de California - Alpha.CA.gov,假期在加利福尼亚州的员工 -  Alpha.CA.gov
/state-california-employee-holidays,,Upcoming holidays for State of California employees.,Días festivos para empleados estatales de California,假期在加利福尼亚州的员工
/state-california-employee-holidays,,Next holiday,Proxímo día festivo,下个假期
/state-california-employee-holidays,,Add State holidays to your calendar,Agregue los días festivos a su calendario,将假日添加到您的日历
/state-california-employee-holidays,,Upcoming holidays,Proxímos días festivos,即将到来的假期
/state-california-employee-holidays,,State of California employees have paid holidays on the following dates.,Empleados estatales de California tienen los días festivos pagados en las próximas fechas.,加利福尼亚州员工在不久的将来有薪假期。
/state-california-employee-holidays,[Date],Date,Fecha,日期
/state-california-employee-holidays,,Day of the week,Día de la semana,天
/state-california-employee-holidays,,Holiday,Día festivo,节日
/state-california-employee-holidays,,Other holidays,Días festivos adicionales,其他节日
/state-california-employee-holidays,,Most employees get,La mayoría de los empleados reciben,大多数员工接受
/state-california-employee-holidays,,1 personal holiday,Un día libre,一天
/state-california-employee-holidays,,1 holiday credit (8 hours),Un crédito de vacaciones (8 horas),一个长假信贷（8小时）
/state-california-employee-holidays,,"July 1, 2020, to June 30, 2021",Entre el 1 de julio de 2020 a 31 de junio de 2021,与2020年7月1日至31月2021
/state-california-employee-holidays,,"July 1, 2021, to June 30, 2022",Entre el 1 de julio de 2021 a 31 de junio de 2022,与2021年7月1日至31月2022
/state-california-employee-holidays,,More details about holidays,Más información sobre días festivos del Estado,状态节假日更多信息
/state-california-employee-holidays,,Weekend holidays,Días festivos en fines de semana,在周末假期
/state-california-employee-holidays,,"When a holiday is on a Saturday, most employees get one holiday credit (eight hours of leave).","Cuando un día festivo cae en un sábado, la mayoría de empleados reciben un crédito de vacaciones (8 horas de permiso laboral).",当公众假期适逢星期六，大多数员工获得休假信贷（8小时工作证）。
/state-california-employee-holidays,,"When a holiday is on a Sunday, most employees have a paid holiday on the following Monday.","Cuando un día festivo cae en un domingo, la mayoría de empleados tienen libre el lunes siguiente después del día festivo.",当公众假期适逢星期日，大部分员工都是免费下星期一节后。
/state-california-employee-holidays,,Holiday credits,Crédito de vacaciones,度假信贷
/state-california-employee-holidays,,Spend your holiday credit on the day or hours you choose.,Aplice su crédito de vacaciones durante el día o horas que usted elige.,在您选择的日或小时Aplice您的假期信用。
/state-california-employee-holidays,,Personal holidays,Días de vacaciones personales,个人休假日
/state-california-employee-holidays,,Most employees get one personal holiday every fiscal year (July 1 to June 30).,La mayoría de empleados reciben un día de vacaciones personal cada año fiscal (entre el 1 de julio a 30 de junio).,大多数员工收到每一会计年度（从7月1日至6月30日），个人休假一天。
/state-california-employee-holidays,,Take your personal holiday on the day you choose.,Tome su día personal en el día que usted elige.,以你所选择的一天，你的个人一天。
/state-california-employee-holidays,,Most employees start collecting personal holidays after they've worked with the State for six months.,La mayoría de los empleados obtienen un dia personal después de haber trabajado con el Estado durante seis meses.,大多数员工有个人一天与国家工作6个月后。
